date,away_team,away_pts,home_team,home_pts,ot,attendees,arena,link
2022-01-31 07:30:00,Sacramento Kings,96,New York Knicks,116,0,15925,Madison Square Garden (IV),/boxscores/202201310NYK.html
2022-01-31 08:00:00,Golden State Warriors,122,Houston Rockets,108,0,16146,Toyota Center,/boxscores/202201310HOU.html
2022-01-31 08:00:00,Portland Trail Blazers,81,Oklahoma City Thunder,98,0,13812,Paycom Center,/boxscores/202201310OKC.html
2022-02-01 07:00:00,New Orleans Pelicans,111,Detroit Pistons,101,0,15499,Little Caesars Arena,/boxscores/202202010DET.html
2022-02-01 07:30:00,Washington Wizards,98,Milwaukee Bucks,112,0,17341,Fiserv Forum,/boxscores/202202010MIL.html
2022-02-01 07:30:00,Miami Heat,106,Toronto Raptors,110,0,0,Scotiabank Arena,/boxscores/202202010TOR.html
2022-02-01 08:00:00,Orlando Magic,115,Chicago Bulls,126,0,20217,United Center,/boxscores/202202010CHI.html
2022-02-01 08:00:00,Denver Nuggets,115,Minnesota Timberwolves,130,0,15839,Target Center,/boxscores/202202010MIN.html
2022-02-01 08:30:00,Golden State Warriors,124,San Antonio Spurs,120,0,17070,AT&T Center,/boxscores/202202010SAS.html
2022-02-01 10:00:00,Brooklyn Nets,111,Phoenix Suns,121,0,17071,Phoenix Suns Arena,/boxscores/202202010PHO.html
2022-02-02 07:00:00,Orlando Magic,119,Indiana Pacers,118,0,14528,Gainbridge Fieldhouse,/boxscores/202202020IND.html
2022-02-02 07:00:00,Washington Wizards,106,Philadelphia 76ers,103,0,20089,Wells Fargo Center,/boxscores/202202020PHI.html
2022-02-02 07:30:00,Charlotte Hornets,107,Boston Celtics,113,0,19156,TD Garden,/boxscores/202202020BOS.html
2022-02-02 07:30:00,Memphis Grizzlies,120,New York Knicks,108,0,19812,Madison Square Garden (IV),/boxscores/202202020NYK.html
2022-02-02 08:00:00,Cleveland Cavaliers,104,Houston Rockets,115,0,14163,Toyota Center,/boxscores/202202020HOU.html
2022-02-02 08:30:00,Oklahoma City Thunder,120,Dallas Mavericks,114,1,19200,American Airlines Center,/boxscores/202202020DAL.html
2022-02-02 10:00:00,Brooklyn Nets,101,Sacramento Kings,112,0,13153,Golden 1 Center,/boxscores/202202020SAC.html
2022-02-02 10:00:00,Denver Nuggets,104,Utah Jazz,108,0,18306,Vivint Smart Home Arena,/boxscores/202202020UTA.html
2022-02-02 10:30:00,Portland Trail Blazers,94,Los Angeles Lakers,99,0,17259,Crypto.com Arena,/boxscores/202202020LAL.html
2022-02-03 07:00:00,Minnesota Timberwolves,128,Detroit Pistons,117,0,15523,Little Caesars Arena,/boxscores/202202030DET.html
2022-02-03 07:00:00,Miami Heat,112,San Antonio Spurs,95,0,14971,AT&T Center,/boxscores/202202030SAS.html
2022-02-03 07:30:00,Phoenix Suns,115,Atlanta Hawks,124,0,16958,State Farm Arena,/boxscores/202202030ATL.html
2022-02-03 07:30:00,Chicago Bulls,120,Toronto Raptors,127,1,0,Scotiabank Arena,/boxscores/202202030TOR.html
2022-02-03 10:00:00,Sacramento Kings,114,Golden State Warriors,126,0,18064,Chase Center,/boxscores/202202030GSW.html
2022-02-03 10:00:00,Los Angeles Lakers,110,Los Angeles Clippers,111,0,19068,Crypto.com Arena,/boxscores/202202030LAC.html
2022-02-04 07:00:00,Cleveland Cavaliers,102,Charlotte Hornets,101,0,17733,Spectrum Center,/boxscores/202202040CHO.html
2022-02-04 07:00:00,Boston Celtics,102,Detroit Pistons,93,0,17584,Little Caesars Arena,/boxscores/202202040DET.html
2022-02-04 07:00:00,Chicago Bulls,122,Indiana Pacers,115,0,16355,Gainbridge Fieldhouse,/boxscores/202202040IND.html
2022-02-04 07:30:00,Atlanta Hawks,114,Toronto Raptors,125,0,0,Scotiabank Arena,/boxscores/202202040TOR.html
2022-02-04 08:30:00,Houston Rockets,106,San Antonio Spurs,131,0,15344,AT&T Center,/boxscores/202202040SAS.html
2022-02-04 09:00:00,New Orleans Pelicans,113,Denver Nuggets,105,0,16152,Ball Arena,/boxscores/202202040DEN.html
2022-02-04 09:00:00,Brooklyn Nets,102,Utah Jazz,125,0,18306,Vivint Smart Home Arena,/boxscores/202202040UTA.html
2022-02-04 10:00:00,Philadelphia 76ers,98,Dallas Mavericks,107,0,19200,American Airlines Center,/boxscores/202202040DAL.html
2022-02-04 10:00:00,Oklahoma City Thunder,96,Portland Trail Blazers,93,0,15329,Moda Center,/boxscores/202202040POR.html
2022-02-05 05:00:00,Memphis Grizzlies,135,Orlando Magic,115,0,18846,Amway Center,/boxscores/202202050ORL.html
2022-02-05 07:00:00,Miami Heat,104,Charlotte Hornets,86,0,19420,Spectrum Center,/boxscores/202202050CHO.html
2022-02-05 07:00:00,Phoenix Suns,95,Washington Wizards,80,0,18058,Capital One Arena,/boxscores/202202050WAS.html
2022-02-05 08:30:00,New York Knicks,115,Los Angeles Lakers,122,1,18997,Crypto.com Arena,/boxscores/202202050LAL.html
2022-02-05 10:00:00,Milwaukee Bucks,137,Portland Trail Blazers,108,0,19393,Moda Center,/boxscores/202202050POR.html
2022-02-05 10:00:00,Oklahoma City Thunder,103,Sacramento Kings,113,0,14097,Golden 1 Center,/boxscores/202202050SAC.html
2022-02-06 03:30:00,Philadelphia 76ers,119,Chicago Bulls,108,0,20233,United Center,/boxscores/202202060CHI.html
2022-02-06 03:30:00,Brooklyn Nets,104,Denver Nuggets,124,0,18241,Ball Arena,/boxscores/202202060DEN.html
2022-02-06 03:30:00,Detroit Pistons,105,Minnesota Timberwolves,118,0,16487,Target Center,/boxscores/202202060MIN.html
2022-02-06 06:00:00,Indiana Pacers,85,Cleveland Cavaliers,98,0,19432,Rocket Mortgage Fieldhouse,/boxscores/202202060CLE.html
2022-02-06 06:00:00,Atlanta Hawks,94,Dallas Mavericks,103,0,19887,American Airlines Center,/boxscores/202202060DAL.html
